"subj"	"block"	"trialN"	"setID"	"RTs"	"cond"	"bsl"	"RTadj"	"RTlog"	"rep"	"day"
"2"	"2"	53	89	1.8926	"RANDREG"	0.3288	1.5638	0.194181208793847	3	"day1"
"2"	"2"	55	50	1.7451	"RANDREG"	0.3288	1.4163	0.151155255150917	3	"day1"
"2"	"2"	57	74	2.0927	"RANDREG"	0.3288	1.7639	0.246473960229344	3	"day1"
"2"	"2"	59	35	1.9041	"RANDREG"	0.3288	1.5753	0.197363273006719	3	"day1"
"2"	"2"	60	32	1.7964	"RANDREG"	0.3288	1.4676	0.16660770308391	3	"day1"
"2"	"2"	3	1	2.0383	"TARGET"	0.3288	1.7095	0.232869105132613	1	"day1"
"2"	"2"	10	42	1.763	"TARGET"	0.3288	1.4342	0.156609718165699	1	"day1"
"2"	"2"	26	37	1.7985	"TARGET"	0.3288	1.4697	0.167228694175993	1	"day1"
"2"	"2"	38	1	2.0235	"TARGET"	0.3288	1.6947	0.22909282945599	2	"day1"
"2"	"2"	41	37	1.7519	"TARGET"	0.3288	1.4231	0.153235418652295	2	"day1"
"2"	"2"	42	1	1.7621	"TARGET"	0.3288	1.4333	0.15633710087081	3	"day1"
"2"	"2"	48	42	1.7848	"TARGET"	0.3288	1.456	0.163161374977018	3	"day1"
"2"	"2"	58	37	1.7323	"TARGET"	0.3288	1.4035	0.147212416970458	3	"day1"
"2"	"3"	2	5	2.0278	"RANDREG"	0.287	1.7408	0.240748878018086	1	"day1"
"2"	"3"	5	53	1.7775	"RANDREG"	0.287	1.4905	0.17333198036865	1	"day1"
"2"	"3"	8	55	1.9813	"RANDREG"	0.287	1.6943	0.228990310840724	1	"day1"
"2"	"3"	14	56	1.7931	"RANDREG"	0.287	1.5061	0.1778538085223	1	"day1"
"2"	"3"	20	69	1.8298	"RANDREG"	0.287	1.5428	0.188309630194004	1	"day1"
"2"	"3"	29	38	1.6888	"RANDREG"	0.287	1.4018	0.146686055647526	1	"day1"
"2"	"3"	38	33	2.1956	"RANDREG"	0.287	1.9086	0.280714919491007	2	"day1"
"2"	"3"	39	58	1.7336	"RANDREG"	0.287	1.4466	0.160348460761097	2	"day1"
"2"	"3"	40	52	1.6875	"RANDREG"	0.287	1.4005	0.146283113159587	2	"day1"
"2"	"3"	41	70	2.0187	"RANDREG"	0.287	1.7317	0.238472656948356	2	"day1"
"2"	"3"	42	78	1.9004	"RANDREG"	0.287	1.6134	0.207742052606945	2	"day1"
"2"	"3"	43	15	1.6366	"RANDREG"	0.287	1.3496	0.130205069581069	3	"day1"
"2"	"3"	46	73	1.5966	"RANDREG"	0.287	1.3096	0.117138666403885	3	"day1"
"2"	"3"	47	59	1.8719	"RANDREG"	0.287	1.5849	0.200001865406602	3	"day1"
